team,sex,medal,count
Afghanistan,M,Bronze,2
Algeria,F,Bronze,1
Algeria,F,Gold,2
Algeria,M,Bronze,7
Algeria,M,Gold,3
Algeria,M,Silver,4
Argentina,F,Bronze,37
Argentina,F,Gold,2
Argentina,F,Silver,34
Argentina,M,Bronze,54
Argentina,M,Gold,89
Argentina,M,Silver,50
Armenia,F,Bronze,1
Armenia,M,Bronze,8
Armenia,M,Gold,2
Armenia,M,Silver,5
Australia,F,Bronze,188
Australia,F,Gold,177
Australia,F,Silver,178
Australia,M,Bronze,323
Australia,M,Gold,165
Australia,M,Silver,275
Austria,F,Bronze,38
Austria,F,Gold,23
Austria,F,Silver,32
Austria,M,Bronze,112
Austria,M,Gold,72
Austria,M,Silver,136
Azerbaijan,F,Bronze,7
Azerbaijan,F,Gold,1
Azerbaijan,F,Silver,2
Azerbaijan,M,Bronze,18
Azerbaijan,M,Gold,6
Azerbaijan,M,Silver,10
Bahamas,F,Bronze,1
Bahamas,F,Gold,8
Bahamas,F,Silver,5
Bahamas,M,Bronze,12
Bahamas,M,Gold,4
Bahamas,M,Silver,6
Bahrain,F,Bronze,1
Bahrain,F,Gold,1
Bahrain,F,Silver,1
Barbados,M,Bronze,1
Belarus,F,Bronze,43
Belarus,F,Gold,11
Belarus,F,Silver,23
Belarus,M,Bronze,28
Belarus,M,Gold,13
Belarus,M,Silver,21
Belgium,F,Bronze,12
Belgium,F,Gold,5
Belgium,F,Silver,6
Belgium,M,Bronze,142
Belgium,M,Gold,89
Belgium,M,Silver,155
Bermuda,M,Bronze,1
Botswana,M,Silver,1
Brazil,F,Bronze,45
Brazil,F,Gold,29
Brazil,F,Silver,47
Brazil,M,Bronze,140
Brazil,M,Gold,74
Brazil,M,Silver,114
Bulgaria,F,Bronze,62
Bulgaria,F,Gold,14
Bulgaria,F,Silver,52
Bulgaria,M,Bronze,82
Bulgaria,M,Gold,40
Bulgaria,M,Silver,92
Burundi,F,Silver,1
Burundi,M,Gold,1
Cameroon,F,Gold,2
Cameroon,M,Bronze,1
Cameroon,M,Gold,18
Cameroon,M,Silver,1
Canada,F,Bronze,206
Canada,F,Gold,151
Canada,F,Silver,148
Canada,M,Bronze,202
Canada,M,Gold,271
Canada,M,Silver,265
Chile,F,Silver,1
Chile,M,Bronze,20
Chile,M,Gold,3
Chile,M,Silver,8
China,F,Bronze,178
China,F,Gold,186
China,F,Silver,236
China,M,Bronze,90
China,M,Gold,122
China,M,Silver,89
Colombia,F,Bronze,7
Colombia,F,Gold,4
Colombia,F,Silver,2
Colombia,M,Bronze,7
Colombia,M,Gold,1
Colombia,M,Silver,6
Costa Rica,F,Bronze,2
Costa Rica,F,Gold,1
Costa Rica,F,Silver,1
Croatia,F,Bronze,5
Croatia,F,Gold,7
Croatia,F,Silver,3
Croatia,M,Bronze,32
Croatia,M,Gold,51
Croatia,M,Silver,51
Cuba,F,Bronze,34
Cuba,F,Gold,37
Cuba,F,Silver,22
Cuba,M,Bronze,82
Cuba,M,Gold,127
Cuba,M,Silver,105
Cyprus,M,Silver,1
Denmark,F,Bronze,28
Denmark,F,Gold,52
Denmark,F,Silver,23
Denmark,M,Bronze,134
Denmark,M,Gold,116
Denmark,M,Silver,200
Djibouti,M,Bronze,1
Dominican Republic,M,Bronze,2
Dominican Republic,M,Gold,3
Dominican Republic,M,Silver,2
Ecuador,M,Gold,1
Ecuador,M,Silver,1
Egypt,F,Bronze,2
Egypt,M,Bronze,10
Egypt,M,Gold,7
Egypt,M,Silver,8
Eritrea,M,Bronze,1
Estonia,F,Gold,3
Estonia,F,Silver,1
Estonia,M,Bronze,20
Estonia,M,Gold,10
Estonia,M,Silver,11
Ethiopia,F,Bronze,10
Ethiopia,F,Gold,10
Ethiopia,F,Silver,3
Ethiopia,M,Bronze,12
Ethiopia,M,Gold,12
Ethiopia,M,Silver,6
Fiji,M,Gold,13
Finland,F,Bronze,73
Finland,F,Gold,16
Finland,F,Silver,30
Finland,M,Bronze,342
Finland,M,Gold,182
Finland,M,Silver,233
France,F,Bronze,84
France,F,Gold,52
France,F,Silver,85
France,M,Bronze,493
France,M,Gold,403
France,M,Silver,433
Gabon,M,Silver,1
Georgia,F,Bronze,1
Georgia,M,Bronze,17
Georgia,M,Gold,8
Georgia,M,Silver,6
Germany,F,Bronze,236
Germany,F,Gold,203
Germany,F,Silver,218
Germany,M,Bronze,442
Germany,M,Gold,476
Germany,M,Silver,409
Ghana,M,Bronze,22
Ghana,M,Silver,1
Greece,F,Bronze,16
Greece,F,Gold,8
Greece,F,Silver,21
Greece,M,Bronze,46
Greece,M,Gold,34
Greece,M,Silver,49
Grenada,M,Gold,1
Grenada,M,Silver,1
Guatemala,M,Silver,1
Guyana,M,Bronze,1
Haiti,M,Bronze,5
Haiti,M,Silver,1
Hong Kong,F,Bronze,1
Hong Kong,F,Gold,1
Hungary,F,Bronze,100
Hungary,F,Gold,69
Hungary,F,Silver,94
Hungary,M,Bronze,265
Hungary,M,Gold,363
Hungary,M,Silver,236
Iceland,F,Bronze,1
Iceland,M,Bronze,1
Iceland,M,Silver,15
India,F,Bronze,4
India,F,Silver,1
India,M,Bronze,36
India,M,Gold,138
India,M,Silver,18
Indonesia,F,Bronze,4
Indonesia,F,Gold,1
Indonesia,F,Silver,7
Indonesia,M,Bronze,5
Indonesia,M,Gold,6
Indonesia,M,Silver,4
Iraq,M,Bronze,1
Ireland,F,Bronze,2
Ireland,F,Gold,4
Ireland,F,Silver,2
Ireland,M,Bronze,11
Ireland,M,Gold,5
Ireland,M,Silver,11
Israel,F,Bronze,1
Israel,F,Silver,1
Israel,M,Bronze,6
Israel,M,Gold,1
Italy,F,Bronze,76
Italy,F,Gold,61
Italy,F,Silver,79
Italy,M,Bronze,408
Italy,M,Gold,474
Italy,M,Silver,429
Jamaica,F,Bronze,32
Jamaica,F,Gold,13
Jamaica,F,Silver,41
Jamaica,M,Bronze,12
Jamaica,M,Gold,25
Jamaica,M,Silver,34
Japan,F,Bronze,120
Japan,F,Gold,72
Japan,F,Silver,107
Japan,M,Bronze,237
Japan,M,Gold,175
Japan,M,Silver,200
Jordan,M,Gold,1
Kazakhstan,F,Bronze,11
Kazakhstan,F,Gold,5
Kazakhstan,F,Silver,5
Kazakhstan,M,Bronze,21
Kazakhstan,M,Gold,15
Kazakhstan,M,Silver,20
Kenya,F,Bronze,4
Kenya,F,Gold,5
Kenya,F,Silver,12
Kenya,M,Bronze,27
Kenya,M,Gold,29
Kenya,M,Silver,29
Kosovo,F,Gold,1
Kuwait,M,Bronze,2
Kyrgyzstan,M,Bronze,2
Kyrgyzstan,M,Silver,1
Latvia,F,Bronze,1
Latvia,F,Silver,1
Latvia,M,Bronze,8
Latvia,M,Gold,3
Latvia,M,Silver,12
Lebanon,M,Bronze,2
Lebanon,M,Silver,2
Liechtenstein,F,Bronze,2
Liechtenstein,F,Gold,2
Liechtenstein,F,Silver,1
Liechtenstein,M,Bronze,3
Liechtenstein,M,Silver,1
Lithuania,F,Bronze,5
Lithuania,F,Gold,3
Lithuania,F,Silver,2
Lithuania,M,Bronze,43
Lithuania,M,Gold,3
Lithuania,M,Silver,5
Luxembourg,M,Gold,4
Luxembourg,M,Silver,4
Malaysia,F,Bronze,1
Malaysia,F,Silver,3
Malaysia,M,Bronze,2
Malaysia,M,Silver,6
Mauritius,M,Bronze,1
Mexico,F,Bronze,7
Mexico,F,Gold,2
Mexico,F,Silver,8
Mexico,M,Bronze,44
Mexico,M,Gold,28
Mexico,M,Silver,18
Monaco,M,Bronze,1
Mongolia,F,Bronze,2
Mongolia,F,Silver,2
Mongolia,M,Bronze,12
Mongolia,M,Gold,2
Mongolia,M,Silver,8
Montenegro,F,Silver,14
Morocco,F,Bronze,2
Morocco,F,Gold,1
Morocco,F,Silver,1
Morocco,M,Bronze,10
Morocco,M,Gold,5
Morocco,M,Silver,4
Mozambique,F,Bronze,1
Mozambique,F,Gold,1
Namibia,M,Silver,4
Nepal,M,Gold,1
Netherlands,F,Bronze,142
Netherlands,F,Gold,142
Netherlands,F,Silver,146
Netherlands,M,Bronze,248
Netherlands,M,Gold,135
Netherlands,M,Silver,175
New Zealand,F,Bronze,15
New Zealand,F,Gold,13
New Zealand,F,Silver,29
New Zealand,M,Bronze,67
New Zealand,M,Gold,72
New Zealand,M,Silver,27
Niger,M,Bronze,1
Niger,M,Silver,1
Nigeria,F,Bronze,12
Nigeria,F,Gold,1
Nigeria,F,Silver,6
Nigeria,M,Bronze,34
Nigeria,M,Gold,22
Nigeria,M,Silver,24
Norway,F,Bronze,82
Norway,F,Gold,77
Norway,F,Silver,70
Norway,M,Bronze,199
Norway,M,Gold,222
Norway,M,Silver,260
Pakistan,M,Bronze,34
Pakistan,M,Gold,42
Pakistan,M,Silver,45
Panama,M,Bronze,2
Panama,M,Gold,1
Paraguay,M,Silver,17
Peru,F,Silver,12
Peru,M,Gold,1
Peru,M,Silver,2
Philippines,F,Silver,1
Philippines,M,Bronze,7
Philippines,M,Silver,2
Poland,F,Bronze,75
Poland,F,Gold,18
Poland,F,Silver,33
Poland,M,Bronze,178
Poland,M,Gold,99
Poland,M,Silver,160
Portugal,F,Bronze,3
Portugal,F,Gold,2
Portugal,F,Silver,1
Portugal,M,Bronze,21
Portugal,M,Gold,2
Portugal,M,Silver,6
Puerto Rico,F,Gold,1
Puerto Rico,M,Bronze,6
Puerto Rico,M,Silver,2
Qatar,M,Bronze,4
Qatar,M,Silver,1
Romania,F,Bronze,130
Romania,F,Gold,121
Romania,F,Silver,104
Romania,M,Bronze,160
Romania,M,Gold,40
Romania,M,Silver,96
Saudi Arabia,M,Bronze,5
Saudi Arabia,M,Silver,1
Senegal,M,Silver,1
Serbia,F,Bronze,13
Serbia,F,Gold,1
Serbia,F,Silver,14
Serbia,M,Bronze,28
Serbia,M,Gold,14
Serbia,M,Silver,15
Singapore,F,Bronze,4
Singapore,F,Silver,3
Singapore,M,Gold,1
Singapore,M,Silver,1
Slovakia,F,Bronze,1
Slovakia,F,Gold,4
Slovakia,F,Silver,5
Slovakia,M,Bronze,12
Slovakia,M,Gold,11
Slovakia,M,Silver,14
Slovenia,F,Bronze,9
Slovenia,F,Gold,4
Slovenia,F,Silver,4
Slovenia,M,Bronze,18
Slovenia,M,Gold,4
Slovenia,M,Silver,9
South Africa,F,Bronze,13
South Africa,F,Gold,5
South Africa,F,Silver,6
South Africa,M,Bronze,39
South Africa,M,Gold,27
South Africa,M,Silver,41
Spain,F,Bronze,39
Spain,F,Gold,36
Spain,F,Silver,54
Spain,M,Bronze,97
Spain,M,Gold,72
Spain,M,Silver,185
Sri Lanka,F,Silver,1
Sri Lanka,M,Silver,1
Sudan,M,Silver,1
Suriname,M,Bronze,1
Suriname,M,Gold,1
Sweden,F,Bronze,82
Sweden,F,Gold,45
Sweden,F,Silver,90
Sweden,M,Bronze,425
Sweden,M,Gold,406
Sweden,M,Silver,386
Switzerland,F,Bronze,43
Switzerland,F,Gold,20
Switzerland,F,Silver,37
Switzerland,M,Bronze,188
Switzerland,M,Gold,124
Switzerland,M,Silver,176
Tajikistan,F,Bronze,1
Tajikistan,M,Bronze,1
Tajikistan,M,Gold,1
Tajikistan,M,Silver,1
Thailand,F,Bronze,6
Thailand,F,Gold,5
Thailand,F,Silver,3
Thailand,M,Bronze,7
Thailand,M,Gold,4
Thailand,M,Silver,5
Togo,M,Bronze,1
Tonga,M,Silver,1
Trinidad and Tobago,M,Bronze,17
Trinidad and Tobago,M,Gold,7
Trinidad and Tobago,M,Silver,8
Tunisia,F,Bronze,2
Tunisia,F,Silver,1
Tunisia,M,Bronze,5
Tunisia,M,Gold,3
Tunisia,M,Silver,2
Uganda,M,Bronze,2
Uganda,M,Gold,2
Uganda,M,Silver,3
Ukraine,F,Bronze,54
Ukraine,F,Gold,27
Ukraine,F,Silver,23
Ukraine,M,Bronze,44
Ukraine,M,Gold,20
Ukraine,M,Silver,29
United Arab Emirates,M,Bronze,1
United Arab Emirates,M,Gold,1
Uruguay,M,Bronze,30
Uruguay,M,Gold,31
Uruguay,M,Silver,2
Uzbekistan,F,Bronze,1
Uzbekistan,F,Gold,1
Uzbekistan,M,Bronze,16
Uzbekistan,M,Gold,9
Uzbekistan,M,Silver,7
Zambia,M,Bronze,1
Zambia,M,Silver,1
Zimbabwe,F,Bronze,1
Zimbabwe,F,Gold,17
Zimbabwe,F,Silver,4
