year,sex,count,total_count,percentage,Gender
1896,M,380,380,100.0,Male
1900,F,33,1936,1.7045454545454544,Female
1900,M,1903,1936,98.29545454545455,Male
1904,F,16,1301,1.2298232129131437,Female
1904,M,1285,1301,98.77017678708685,Male
1906,F,11,1733,0.634737449509521,Female
1906,M,1722,1733,99.36526255049047,Male
1908,F,47,3101,1.5156401160915833,Female
1908,M,3054,3101,98.48435988390841,Male
1912,F,87,4040,2.153465346534653,Female
1912,M,3953,4040,97.84653465346534,Male
1920,F,134,4292,3.1220876048462256,Female
1920,M,4158,4292,96.87791239515377,Male
1924,F,261,5693,4.584577551378886,Female
1924,M,5432,5693,95.41542244862111,Male
1928,F,437,5574,7.8399712952996055,Female
1928,M,5137,5574,92.1600287047004,Male
1932,F,369,3321,11.11111111111111,Female
1932,M,2952,3321,88.88888888888889,Male
1936,F,549,7401,7.417916497770571,Female
1936,M,6852,7401,92.58208350222942,Male
1948,F,761,7480,10.17379679144385,Female
1948,M,6719,7480,89.82620320855615,Male
1952,F,1682,9358,17.973926052575337,Female
1952,M,7676,9358,82.02607394742466,Male
1956,F,1139,6434,17.702828722412185,Female
1956,M,5295,6434,82.29717127758781,Male
1960,F,1730,9235,18.73308067135896,Female
1960,M,7505,9235,81.26691932864104,Male
1964,F,1752,9480,18.48101265822785,Female
1964,M,7728,9480,81.51898734177216,Male
1968,F,2193,10479,20.927569424563412,Female
1968,M,8286,10479,79.0724305754366,Male
1972,F,2608,11959,21.807843465172674,Female
1972,M,9351,11959,78.19215653482733,Male
1976,F,2606,10502,24.814321081698722,Female
1976,M,7896,10502,75.18567891830128,Male
1980,F,2186,8937,24.46010965648428,Female
1980,M,6751,8937,75.53989034351572,Male
1984,F,2983,11588,25.742147048671036,Female
1984,M,8605,11588,74.25785295132896,Male
1988,F,4223,14676,28.774870536931047,Female
1988,M,10453,14676,71.22512946306895,Male
1992,F,5178,16413,31.5481630414915,Female
1992,M,11235,16413,68.4518369585085,Male
1994,F,1105,3160,34.96835443037975,Female
1994,M,2055,3160,65.03164556962025,Male
1996,F,5008,13780,36.34252539912917,Female
1996,M,8772,13780,63.65747460087082,Male
1998,F,1384,3605,38.391123439667126,Female
1998,M,2221,3605,61.608876560332874,Male
2000,F,5431,13821,39.29527530569423,Female
2000,M,8390,13821,60.70472469430577,Male
2002,F,1582,4109,38.50085178875639,Female
2002,M,2527,4109,61.499148211243615,Male
2004,F,5546,13443,41.255672097002154,Female
2004,M,7897,13443,58.74432790299784,Male
2006,F,1757,4382,40.09584664536741,Female
2006,M,2625,4382,59.904153354632584,Male
2008,F,5816,13602,42.758417879723574,Female
2008,M,7786,13602,57.24158212027643,Male
2010,F,1847,4402,41.95820081781009,Female
2010,M,2555,4402,58.04179918218991,Male
2012,F,5815,12920,45.00773993808049,Female
2012,M,7105,12920,54.99226006191951,Male
2014,F,2023,4891,41.361684727049685,Female
2014,M,2868,4891,58.638315272950315,Male
2016,F,6223,13688,45.46317942723553,Female
2016,M,7465,13688,54.53682057276447,Male
