year,match_result,matches_won
1996.0,Australia,10
1996.0,Draw,1
1996.0,England,6
1996.0,India,14
1996.0,Kenya,1
1996.0,New Zealand,9
1996.0,Pakistan,22
1996.0,South Africa,25
1996.0,Sri Lanka,18
1996.0,United Arab Emirates,1
1996.0,West Indies,10
1996.0,Zimbabwe,3
1997.0,Australia,7
1997.0,Draw,3
1997.0,England,8
1997.0,India,12
1997.0,Kenya,3
1997.0,New Zealand,7
1997.0,Pakistan,13
1997.0,South Africa,17
1997.0,Sri Lanka,19
1997.0,West Indies,10
1997.0,Zimbabwe,9
1998.0,Australia,15
1998.0,Bangladesh,1
1998.0,England,3
1998.0,India,24
1998.0,Kenya,2
1998.0,New Zealand,9
1998.0,Pakistan,12
1998.0,South Africa,17
1998.0,Sri Lanka,11
1998.0,West Indies,6
1998.0,Zimbabwe,6
1999.0,Australia,27
1999.0,Bangladesh,2
1999.0,Draw,3
1999.0,England,9
1999.0,India,21
1999.0,Kenya,2
1999.0,New Zealand,9
1999.0,Pakistan,21
1999.0,South Africa,18
1999.0,Sri Lanka,12
1999.0,West Indies,13
1999.0,Zimbabwe,10
2000.0,Australia,15
2000.0,Draw,1
2000.0,England,11
2000.0,India,14
2000.0,New Zealand,8
2000.0,Pakistan,20
2000.0,South Africa,25
2000.0,Sri Lanka,16
2000.0,West Indies,7
2000.0,Zimbabwe,9
2001.0,Australia,18
2001.0,England,6
2001.0,India,12
2001.0,Kenya,1
2001.0,New Zealand,9
2001.0,Pakistan,12
2001.0,South Africa,17
2001.0,Sri Lanka,21
2001.0,West Indies,13
2001.0,Zimbabwe,10
2002.0,Australia,19
2002.0,Draw,1
2002.0,England,11
2002.0,India,18
2002.0,New Zealand,13
2002.0,Pakistan,23
2002.0,South Africa,21
2002.0,Sri Lanka,15
2002.0,West Indies,13
2002.0,Zimbabwe,4
2003.0,Australia,30
2003.0,Canada,1
2003.0,England,13
2003.0,India,16
2003.0,Kenya,4
2003.0,Netherlands,1
2003.0,New Zealand,11
2003.0,Pakistan,22
2003.0,South Africa,13
2003.0,Sri Lanka,15
2003.0,West Indies,9
2003.0,Zimbabwe,7
2004.0,Australia,18
2004.0,Bangladesh,3
2004.0,England,10
2004.0,India,16
2004.0,New Zealand,19
2004.0,Pakistan,14
2004.0,South Africa,5
2004.0,Sri Lanka,19
2004.0,West Indies,11
2004.0,Zimbabwe,3
2005.0,Africa XI,2
2005.0,Asia XI,1
2005.0,Australia,20
2005.0,Bangladesh,5
2005.0,Draw,2
2005.0,England,7
2005.0,ICC World XI,1
2005.0,India,15
2005.0,New Zealand,7
2005.0,Pakistan,14
2005.0,South Africa,17
2005.0,Sri Lanka,7
2005.0,West Indies,3
2005.0,Zimbabwe,2
