toss_decision,match_result,count
bat first,Africa XI,1
bat first,Asia XI,1
bat first,Australia,121
bat first,Bangladesh,6
bat first,Canada,1
bat first,Draw,7
bat first,England,50
bat first,ICC World XI,1
bat first,India,90
bat first,Kenya,10
bat first,Netherlands,1
bat first,New Zealand,46
bat first,Pakistan,123
bat first,South Africa,107
bat first,Sri Lanka,81
bat first,West Indies,53
bat first,Zimbabwe,34
field first,Africa XI,1
field first,Australia,58
field first,Bangladesh,5
field first,Draw,4
field first,England,38
field first,India,74
field first,Kenya,3
field first,New Zealand,56
field first,Pakistan,52
field first,South Africa,68
field first,Sri Lanka,72
field first,United Arab Emirates,1
field first,West Indies,43
field first,Zimbabwe,29
